Sl. No.,States,No. of Claims Received upto 31.03.2022 - Individual,No. of Claims Received upto 31.03.2022 - Community,No. of Claims Received upto 31.03.2022 - Total,No. of Titles Distributed upto 31.03.2022 - Individual,No. of Titles Distributed upto 31.03.2022 - Community,No. of Titles Distributed upto 31.03.2022 - Total
1,Andhra Pradesh,274078,3294,277372,210828,1822,212650
2,Assam,148965,6046,155011,57325,1477,58802
3,Bihar,8022,NA,8022,121,NA,121
4,Chhattisgarh,866955,50806,917761,445573,45303,490876
5,Goa,9758,378,10136,138,11,149
6,Gujarat,182869,7187,190056,91686,4597,96283
7,Himachal Pradesh,2746,275,3021,129,35,164
8,Jharkhand,107032,3724,110756,59866,2104,61970
9,Karnataka,288357,5938,294295,14680,1343,16023
10,Kerala,43466,1109,44575,26745,183,26928
11,Madhya Pradesh,585326,42187,627513,266609,27976,294585
12,Maharashtra,362679,12037,374716,165032,7084,172116
13,Odisha,627998,15282,643280,452164,7624,459788
14,Rajasthan,85243,2016,87259,45135,361,45496
15,Tamil Nadu,33755,1082,34837,8144,450,8594
16,Telangana,204176,2808,206984,97434,102,97536
17,Tripura,200696,277,200973,127931,55,127986
18,Uttar Pradesh,92577,1162,93739,18049,861,18910
19,Uttarakhand,3587,3091,6678,184,1,185
20,West Bengal,131962,10119,142081,44444,686,45130
21,Andaman and Nicobar Islands,0,0,0,0,0,0
22,Ladakh,0,0,0,0,0,0
Total,Total,4260247,168818,4429065,2132217,102075,2234292
